Original,Renamed
AEDAT,ACCT_DOC_CHGD_DT
AUFNR_BSEG,PRCSS_ORDER_NMBR
AUFPL,TASK_LIST_NMBR
AUGBL,CLEARING_DOC_NMBR
AUGCP,CLEARING_ENTRY_DT
AUGDT,CLEARING_DT
AWKEY,RFRNC_ID
AWTYP,RFRNC_TRANS_TYPE_ID
BEWAR,TRANS_TYPE_CD
BKTXT,DOC_HDR_TXT
BLART,DOC_TYPE_ID
BLDAT,DOC_DT
BSCHL,PSTNG_KEY_ID
BSTAT,ACCT_DOC_STATUS_ID
BUDAT,PSTNG_DT
BUKRS,CMPNY_ID
BUZEI,LINE_ITEM_NMBR
BWTAR,VLTN_TYPE_ID
CPUDT,ACCT_DOC_ENTRY_DT
CPUTM,ACCT_DOC_ENTRY_TM
DBBLG,RECURRING_ENTRY_DOC_NMBR
DOCCAT,DOC_CTGRY_ID
EBELN,PRCHS_ORDER_DOC_ID
EBELP,PRCHS_ORDER_DOC_ITEM_NMBR
GJAHR,FSCL_YR
GLVOR,BSNSS_TRANS_CD
HKONT,GL_ACCT_ID
HWAER,LOCAL_CURR_ID
KOART,OFFST_ACCT_TYPE
KOSTL,COST_CTR_ID
KTOSL,TRANS_KEY_CD
KURSF,SPOT_EXCHNG_RATE
LANDL,SUPPLYING_CNTRY_CD
LDGRP,LDGR_GROUP_ID
LIFNR,VNDR_ID
MATNR,MTRL_ID
MEINS_BSEG,TRANS_UOM_ID
MEINS_MARA,BASE_UOM_ID
MONAT,FSCL_MO
MWART,TAX_TYPE_CD
MWSKZ,DISTR_TAX_CD
NPLNR,NETWORK_NMBR
POSN2,SLS_DOC_ITEM
PPNAM,DOC_PARKED_USER_NM
PRCTR,PROFIT_CTR_ID
PROJN,WBS_ELEMENT
REBZG,INVC_DOC_NMBR
REBZJ,CRDT_MEMO_RLVNT_INVC_FSCL_YR
REBZZ,RLVNT_INVC_LINE_ITEM_NMBR
SAKAN,GL_ACCT_CHILD_ID
SAKNR,OFFST_ACCT_ID
SGTXT,ITEM_TXT
STBLG,RVRS_DOC_NMBR
STCEG,VAT_RGSTRTN_NMBR
STGRD,RVRSL_RSN_CD
STJAH,RVRS_DOC_FSCL_YR
STODT,RVRS_PSTNG_PLNND_DT
TCODE,TRANS_CD
TXGRP,TAX_LINE_ITEM_GROUP_CD
UMREN,BASE_UOM_CNVRSN_DNMNTR
UMREZ,BASE_UOM_CNVRSN_NMRTR
UPDDT,ACCT_DOC_LAST_UPDT_DT
USNAM,DOC_CRTN_USER_ID
VBEL2,SLS_DOC_ID
VBELN_BSEG,DLVRY_DOC_ID
VORGN,GL_TRANS_TYPE_CD
VORNR,ACTV_CD
WAERS,DOC_CURR_ID
WERKS,PLANT_ID
WWERT,CURR_TRNSLTN_DT
XAUTO,LINE_ITEM_AUTO_CRTN_IND
XBLNR,RFRNC_ACCT_NMBR
XREF1,BSNSS_PRTNR_RFRNC_KEY_1_ID
XREF1_HD,RFRNC_KEY_1_ID
XREF2,BSNSS_PRTNR_RFRNC_KEY_2_ID
XREF2_HD,RFRNC_KEY_2_ID
XREF3,LINE_ITEM_RFRNC_KEY_ID
XREVERSAL,RVRSL_OR_REVERSED_DOC_IND
XUMSW,SLS_RLTD_ITEM_IND
ZLSCH,PAYMNT_MTHD
ZLSPR,PAYMNT_BLOCK_KEY
ZTERM,PAYMNT_TERM
ZUONR_BSEG,ASGNMNT_NMBR
